MainJobID,ElapsedRaw,MaxRSS,TRAJECTORIES,Horizon,PARTICLES,AverageReward
7434825,9972,615404K,300,5,200,138.8
7434825,9972,615404K,300,5,200,138.8
7434825,9972,615404K,1,1,1,138.8
7434825,9972,615404K,1,1,1,138.8
7434723,61,60312K,10,20,20,119.04
7434892,21017,1181888K,1000,20,30,150.54
7434719,129,69344K,10,10,100,126.2
7434901,50241,5469532K,1000,30,100,40.26
7434793,420,99952K,200,5,20,151.94
7434872,10562,1399092K,500,30,50,46.42
7434817,8136,1054192K,200,30,100,44.78
7434844,6555,826124K,300,30,50,48.1
7434785,500,95908K,100,30,10,78.9
7434731,122,67028K,10,30,30,119.0
7434853,22918,980236K,500,5,200,142.04
7434898,11003,1155548K,1000,30,20,74.24
7434738,122,87136K,50,5,30,140.7
7434763,70,70464K,100,5,5,147.6
7434894,89127,3725304K,1000,20,100,127.16
7434848,713,102008K,500,5,10,137.78
7434810,8816,761756K,200,20,100,87.42
7434715,20,0,10,10,10,108.72
7434735,29,0,50,5,5,138.28
7434880,30108,1015836K,1000,5,100,142.58
7434802,2547,236912K,200,10,50,145.66
7434773,552,114224K,100,10,30,124.98
7434831,11220,619064K,300,10,100,145.94
7434708,13,0,10,5,10,132.58
7434805,326,85392K,200,20,5,95.0
7434910,12,0,10,5,5,
7434891,13277,807240K,1000,20,20,136.54
7434724,86,63876K,10,20,30,123.26
7434778,359,85156K,100,20,10,101.36
7434837,6673,587480K,300,20,50,90.16
7434794,715,119700K,200,5,30,140.82
7434733,390,74844K,10,30,100,132.3
7434865,9596,961144K,500,20,50,112.32
7434838,14659,1121156K,300,20,100,88.68
7434737,84,75788K,50,5,20,141.4
7434803,5741,420784K,200,10,100,143.28
7434887,76413,1977700K,1000,10,100,138.58
7434784,277,73528K,100,30,5,103.5
7434899,20276,1710496K,1000,30,30,65.02
7434820,513,91372K,300,5,10,156.4
7434730,85,57092K,10,30,20,109.9
7434749,86,58812K,50,20,5,116.52
7434883,3169,239772K,1000,10,10,167.12
7434772,372,94336K,100,10,20,118.32
7434712,73,67892K,10,5,100,148.04
7434882,1732,155476K,1000,10,5,168.2
7434845,14555,1545816K,300,30,100,39.94
7434746,338,98124K,50,10,50,106.66
7434726,276,69692K,10,20,100,129.16
7434767,533,104568K,100,5,50,132.18
7434779,651,109756K,100,20,20,94.72
7434797,6363,428704K,200,5,200,140.18
7434755,3016,334408K,50,20,200,87.74
7434890,5756,424936K,1000,20,10,136.18
7434821,887,114964K,300,5,20,143.36
7434729,47,54144K,10,30,10,111.52
7434753,549,121204K,50,20,50,90.58
7434789,4037,501908K,100,30,100,58.3
7434736,47,64548K,50,5,10,137.8
7434787,1191,177340K,100,30,30,59.02
7434867,69937,3672196K,500,20,200,93.66
7434816,4181,529608K,200,30,50,51.8
7434771,220,72304K,100,10,10,123.96
7434762,4926,418308K,50,30,200,91.02
7434830,4471,333356K,300,10,50,144.86
7434850,2142,191656K,500,5,30,144.6
7434833,884,104808K,300,20,5,113.46
7434884,5067,433632K,1000,10,20,153.24
7434791,151,78320K,200,5,5,155.64
7434717,45,62228K,10,10,30,128.68
7434874,41762,5114396K,500,30,200,27.48
7434847,526,88336K,500,5,5,157.8
7434710,26,0,10,5,30,115.44
7434858,11499,524308K,500,10,50,140.86
7434782,3404,366.50M,100,20,100,80.12
7434775,2261,227992K,100,10,100,120.66
7434809,4025,400188K,200,20,50,83.12
7434780,998,142600K,100,20,30,82.24
7434792,270,86256K,200,5,10,145.46
7434721,20,0,10,20,5,92.16
7434722,34,52512K,10,20,10,119.12
7434760,1097,140484K,50,30,50,96.8
7434861,1372,145372K,500,20,5,115.38
7434822,1321,144924K,300,5,30,140.34
7434897,5103,597492K,1000,30,10,82.2
7434741,1020,141112K,50,5,200,131.1
7434896,3179,322584K,1000,30,5,83.78
7434786,880,139468K,100,30,20,63.82
7434860,36572,1912484K,500,10,200,142.84
7434716,32,58540K,10,10,20,123.06
7434885,18314,631536K,1000,10,30,155.68
7434849,1577,155256K,500,5,20,155.96
7434768,1138,147144K,100,5,100,131.76
7434748,1730,214576K,50,10,200,106.9
7434770,116,63892K,100,10,5,133.04
7434879,16373,533992K,1000,5,50,136.66
7434709,19,0,10,5,20,127.8
7434788,2084,267748K,100,30,50,57.58
7434742,48,59016K,50,10,5,131.02
7434841,1480,190M,300,30,10,59.44
7434728,29,0,10,30,5,90.12
7434815,2662,310624K,200,30,30,46.26
7434747,806,139056K,50,10,100,101.26
7434752,410,100608K,50,20,30,94.52
7434758,457,90988K,50,30,20,103.46
7434868,1000,186304K,500,30,5,90.7
7434769,2895,236036K,100,5,200,134.08
7434807,1603,187548K,200,20,20,92.74
7434889,2711,236008K,1000,20,5,132.0
7434869,1574,301008K,500,30,10,62.58
7434859,24675,1001500K,500,10,100,151.28
7434857,4797,336196K,500,10,30,147.58
7434877,2545,240156K,1000,5,20,157.36
7434740,429,106032K,50,5,100,135.16
7434711,39,63432K,10,5,50,131.66
7434707,10,0,10,5,5,117.56
7434718,69,64812K,10,10,50,134.92
7434851,4460,291268K,500,5,50,147.22
7434829,2163,223680K,300,10,30,144.86
7434776,4919,390052K,100,10,200,117.22
7434799,518,85192K,200,10,10,139.3
7434814,1572,239640K,200,30,20,61.28
7434862,1473,226404K,500,20,10,111.16
7434783,7454,694424K,100,20,200,78.94
7434875,587,105232K,1000,5,5,151.22
7434873,18292,2660220K,500,30,100,47.52
7434823,2409,192740K,300,5,50,145.94
7434751,268,82976K,50,20,20,108.24
7434759,677,106204K,50,30,30,102.06
7434798,226,73404K,200,10,5,140.06
7434808,1687,255212K,200,20,30,94.1
7434834,1290,156060K,300,20,10,97.2
7434761,2450,233464K,50,30,100,98.3
7434781,1338,201544K,100,20,50,83.4
7434878,5770,344492K,1000,5,30,152.16
7434866,30550,1904344K,500,20,100,89.66
7434856,2762,239736K,500,10,20,161.94
7434840,1112,126208K,300,30,5,72.88
7434764,113,73032K,100,5,10,139.66
7434790,9249,950512K,100,30,200,50.94
7434743,83,59428K,50,10,10,129.68
7434796,1738,238600K,200,5,100,145.72
7434754,1392,194840K,50,20,100,87.6
7434886,32598,1000548K,1000,10,50,148.8
7434828,1786,163660K,300,10,20,150.12
7434727,542,79712K,10,20,200,124.22
7434739,211,85288K,50,5,50,128.04
7434750,156,67204K,50,20,10,110.32
7434846,29318,3117336K,300,30,200,44.58
7434732,197,66672K,10,30,50,132.68
7434863,4265,403060K,500,20,20,104.74
7434813,1045,149532K,200,30,10,62.02
7434843,4174,506972K,300,30,30,38.06
7434835,2635,256548K,300,20,20,105.8
7434871,7436,825728K,500,30,30,53.52
7434713,140,76248K,10,5,200,128.92
7434893,23453,1892368K,1000,20,50,127.36
7434777,203,66076K,100,20,5,118.44
7434756,101,57604K,50,30,5,116.0
7434804,12954,775336K,200,10,200,141.86
7434714,12,0,10,10,5,101.92
7434744,144,77868K,50,10,20,112.02
7434888,95047,3812348K,1000,10,200,146.22
7434765,206,86292K,100,5,20,137.84
7434839,32916,2167444K,300,20,200,101.52
7434734,783,81000K,10,30,200,137.44
7434855,1726,142812K,500,10,10,154.98
7434801,1450,165492K,200,10,30,140.42
7434854,626,97028K,500,10,5,158.54
7434827,948,106492K,300,10,10,141.44
7434774,870,142852K,100,10,50,133.26
7434900,26711,2773028K,1000,30,50,38.62
7434842,2233,334000K,300,30,20,57.3
7434864,9942,605888K,500,20,30,106.58
7434826,558,81.50M,300,10,5,147.94
7434795,1273,143460K,200,5,50,138.8
7434870,3640,533964K,500,30,20,44.62
7434881,77688,1961568K,1000,5,200,145.72
7434832,24320,1160668K,300,10,200,143.66
7434836,4173,373896K,300,20,30,114.22
7434806,715,118136K,200,20,10,95.26
7434757,238,69772K,50,30,10,117.42
7434895,197160,7314004K,1000,20,200,121.7
7434725,137,66620K,10,20,50,134.48
7434811,10512,1461320K,200,20,200,111.5
7434819,348,75140K,300,5,5,163.56
7434852,9476,530892K,500,5,100,144.52
7434766,300,87872K,100,5,30,135.1
7434745,202,89992K,50,10,30,110.46
7434876,1769,151960K,1000,5,10,162.36
7434902,201757,11064516K,1000,30,200,41.56
7434812,640,98444K,200,30,5,84.68
7434818,18002,2041068K,200,30,200,40.0
7434800,891,126396K,200,10,20,136.58
7434824,4577,336212K,300,5,100,151.06
7434720,257,79500K,10,10,200,128.82
